20230820	21:21:35	494ca3a1-eb35-47e2-8571-c06f14ef0507	GET	undefined	/employees/:3
20230821	00:34:53	bc966331-8a91-4134-9bc3-5aea5c42213a	POST	undefined	/register?=1
20230821	00:35:24	9084bca3-7ff4-4c1b-a90c-5eaf9605d223	POST	undefined	/register?username=ayissi&password=ayissi
20230821	00:38:23	f7037d5d-1c0d-45be-94f7-c12b0e940c73	POST	undefined	/register
20230821	00:40:48	ac3024bf-34e6-4b55-924a-c8769c3fc0eb	POST	undefined	/register
20230821	00:42:02	a4b4c05b-dbaa-4fbd-96d9-d341a0ab208f	POST	undefined	/register
20230821	21:47:57	bd58e328-19bc-42a8-84fa-d6f2db153ba2	GET	undefined	/
20230821	21:47:57	c43013fe-b0db-4a78-b748-599fb98b024b	GET	undefined	/css/style.css
20230821	21:47:57	156b3feb-bc31-4667-beea-69825388d6d4	GET	undefined	/favicon.ico
20230821	21:48:14	f72deb74-65e8-4ef2-a84b-18cf5aaf82db	GET	undefined	/employee
20230821	21:48:14	32465aa4-75ee-4d77-89b9-724ffe7ad241	GET	undefined	/css/style.css
20230821	21:48:18	b4d9f4b7-6b13-4a4a-8f34-db7e2d1099c1	GET	undefined	/employees
20230823	14:52:40	e40b9812-8647-4aa0-8f24-213c676a1295	GET	undefined	/employees
20230823	14:54:08	4bc4d995-678d-4dd0-846b-0ea0a6dcb638	GET	undefined	/register
20230823	14:56:59	5be6f888-2947-4eb3-8d82-483cdb47ffc1	POST	undefined	/register
20230823	14:58:01	fcf59def-081b-4e6e-8a07-f74bb1deb7a9	POST	undefined	/register
20230823	14:58:13	3cd0e64b-aaec-4c75-bc80-017bdd44c60e	GET	undefined	/employees
20230823	15:01:23	3266abc6-34c9-4ab0-af17-f9da574baf04	POST	undefined	/register
20230823	15:23:28	69df8029-4189-43f0-ac4b-ba6ef43003e1	GET	undefined	/auth
20230823	15:23:36	3adc1269-442d-4c84-98a2-89fa6c55d0c4	POST	undefined	/auth
20230823	15:23:44	5c0aa9dd-8c82-4368-90e6-1a98e311b340	POST	undefined	/auth
20230823	15:27:24	59f3c96a-729b-4dc8-a01e-bbe3007bdff3	POST	undefined	/auth
20230823	17:59:30	23a59d1d-34c6-4b16-ad5a-c2937cdb514b	POST	undefined	/auth
20230823	17:59:50	0479ccac-59a2-4fe0-bfd8-1a07ade07284	POST	undefined	/auth
20230823	18:01:22	f0834323-62a7-457e-9067-120728310d94	POST	undefined	/auth
20230823	18:01:32	227c4f5f-371c-4b9b-9d08-1abc0c8ed19a	GET	undefined	/employees
20230823	18:02:03	11267da4-c893-4f8e-99d4-6972c7d513ef	GET	undefined	/employees
20230823	18:02:34	42b67e2f-7c1c-4144-a7da-2dd411500e24	POST	undefined	/auth
20230823	18:03:27	4a52c44f-86ce-4349-ba00-80dba8e75725	POST	undefined	/register
20230823	18:03:45	3cdb02e4-7069-46c0-ad03-8bae17d8ef27	POST	undefined	/auth
20230823	18:03:59	fdfc3d1b-dcc4-4b6f-98c8-6216de985905	GET	undefined	/employees
20230823	18:05:52	bd4969cb-06de-46be-9a7f-2d24b9535a89	GET	undefined	/employees
20230823	18:06:16	19b275ae-5106-4a11-99a4-106d3b37c0ed	GET	undefined	/employees
20230823	18:30:34	03476866-c047-42a4-b7ea-d5058a8e4ce9	POST	undefined	/auth
20230823	18:31:39	3d803f7f-43cd-4c01-bade-4c97543a973c	POST	undefined	/auth
20230823	18:39:59	a3ad1ad9-11f9-415a-9aba-50914878d569	GET	undefined	/employees
20230823	18:40:14	478ce66b-1672-4d1d-b115-feee2ab0a6c9	POST	undefined	/auth
20230823	18:40:25	27dc6954-9e93-4311-a52f-8472f20a8b40	GET	undefined	/employees
20230823	18:40:38	87bbd68d-e85d-4cf9-a664-84ae646d227c	GET	undefined	/employees
20230823	18:41:09	9cac9f67-9497-4787-85c9-44762dcf5d83	GET	undefined	/employees
20230823	18:41:44	1620a28b-46a5-42b4-992d-59bc5f562ebd	GET	undefined	/employees
20230823	18:45:31	6d0e03b2-a4a0-44cf-8886-d0fb335b21ec	GET	undefined	/employees
20230823	18:45:49	e51f18d7-f7c6-4ff0-962c-c9625c1c7222	GET	undefined	/employees
20230823	18:46:08	e96e8772-1dba-41c1-b421-ecff94ca212d	POST	undefined	/auth
20230823	18:46:18	faa65ce7-bfd7-4da7-9c2c-33bc05f9100c	GET	undefined	/employees
20230823	18:48:40	cb69633a-25c1-48a3-94e6-ae826bcd7cf9	GET	undefined	/employees
20230823	18:49:07	02cc50ab-da8a-4f20-82d1-a06c987ffec7	GET	undefined	/employees
20230823	18:52:18	cfd4ffc8-9a38-4339-b396-f8728c485667	GET	undefined	/employees
20230823	18:52:58	ad688e53-3de1-4f8d-89d1-bc38377eb10d	GET	undefined	/employees
20230823	18:53:33	173b9e1c-ed24-43fa-bb50-348b5a01dcdc	POST	undefined	/auth
20230823	18:53:45	a319bb5e-8321-4190-a590-f66b0487f9be	GET	undefined	/employees
20230823	18:53:56	bd32cbe7-2ff5-4a57-8fc0-4db33610a773	GET	undefined	/employees
20230823	18:54:01	21b742db-c058-43a4-89f7-0265a05d6db6	GET	undefined	/employees
20230823	18:54:03	b36835d3-b2ce-4b22-8c2a-ff29727b043b	GET	undefined	/employees
20230823	18:57:14	aef68f3a-b29f-4ebe-9a33-d0855987ae19	GET	undefined	/employees?id=1
